PublishedDate,Code,ApplicationDate,PublishReason,ShortMarginOutstanding,DailyChangeShortMarginOutstanding,ShortMarginOutstandingListedShareRatio,LongMarginOutstanding,DailyChangeLongMarginOutstanding,LongMarginOutstandingListedShareRatio,ShortLongRatio,ShortNegotiableMarginOutstanding,DailyChangeShortNegotiableMarginOutstanding,ShortStandardizedMarginOutstanding,DailyChangeShortStandardizedMarginOutstanding,LongNegotiableMarginOutstanding,DailyChangeLongNegotiableMarginOutstanding,LongStandardizedMarginOutstanding,DailyChangeLongStandardizedMarginOutstanding,TSEMarginBorrowingAndLendingRegulationClassification
2025-11-20,78170,2025-11-19,"{'Restricted': '0', 'DailyPublication': '0', 'Monitoring': '0', 'RestrictedByJSF': '1', 'PrecautionByJSF': '0', 'UnclearOrSecOnAlert': '0'}",8600.0,-100.0,0.0149,18500.0,-11800.0,0.0321,46.5,0.0,0.0,8600.0,-100.0,3900.0,-3900.0,14600.0,-7900.0,001
2025-11-20,78310,2025-11-19,"{'Restricted': '0', 'DailyPublication': '0', 'Monitoring': '0', 'RestrictedByJSF': '0', 'PrecautionByJSF': '0', 'UnclearOrSecOnAlert': '1'}",0.0,0.0,0.0,667400.0,26100.0,4.2996,0.0,0.0,0.0,0.0,0.0,437300.0,6500.0,230100.0,19600.0,101
2025-11-20,78790,2025-11-19,"{'Restricted': '0', 'DailyPublication': '0', 'Monitoring': '0', 'RestrictedByJSF': '1', 'PrecautionByJSF': '0', 'UnclearOrSecOnAlert': '0'}",0.0,0.0,0.0,132600.0,-1500.0,0.7647,0.0,0.0,0.0,0.0,0.0,102500.0,-1500.0,30100.0,0.0,001
2025-11-20,78850,2025-11-19,"{'Restricted': '0', 'DailyPublication': '0', 'Monitoring': '0', 'RestrictedByJSF': '0', 'PrecautionByJSF': '1', 'UnclearOrSecOnAlert': '0'}",1500.0,-100.0,0.0095,77200.0,100.0,0.4911,1.9,0.0,0.0,1500.0,-100.0,65800.0,0.0,11400.0,100.0,001
2025-11-20,79990,2025-11-19,"{'Restricted': '0', 'DailyPublication': '0', 'Monitoring': '0', 'RestrictedByJSF': '0', 'PrecautionByJSF': '1', 'UnclearOrSecOnAlert': '0'}",2300.0,-200.0,0.0455,68400.0,-300.0,1.3532,3.4,0.0,0.0,2300.0,-200.0,9300.0,-100.0,59100.0,-200.0,001
2025-11-20,80130,2025-11-19,"{'Restricted': '0', 'DailyPublication': '0', 'Monitoring': '0', 'RestrictedByJSF': '1', 'PrecautionByJSF': '0', 'UnclearOrSecOnAlert': '0'}",3400.0,0.0,0.0414,560600.0,-2300.0,6.8222,0.6,0.0,0.0,3400.0,0.0,195100.0,0.0,365500.0,-2300.0,001
2025-11-20,80410,2025-11-19,"{'Restricted': '0', 'DailyPublication': '0', 'Monitoring': '0', 'RestrictedByJSF': '0', 'PrecautionByJSF': '1', 'UnclearOrSecOnAlert': '0'}",1000.0,200.0,0.018,46400.0,-500.0,0.8342,2.2,0.0,0.0,1000.0,200.0,34000.0,-200.0,12400.0,-300.0,001
2025-11-20,80770,2025-11-19,"{'Restricted': '0', 'DailyPublication': '0', 'Monitoring': '0', 'RestrictedByJSF': '0', 'PrecautionByJSF': '1', 'UnclearOrSecOnAlert': '0'}",900.0,100.0,0.0032,458100.0,-2700.0,1.6356,0.2,0.0,0.0,900.0,100.0,362100.0,6800.0,96000.0,-9500.0,001
2025-11-20,80890,2025-11-19,"{'Restricted': '0', 'DailyPublication': '0', 'Monitoring': '0', 'RestrictedByJSF': '0', 'PrecautionByJSF': '1', 'UnclearOrSecOnAlert': '0'}",900.0,0.0,0.0073,41300.0,-500.0,0.3372,2.2,0.0,0.0,900.0,0.0,32900.0,-500.0,8400.0,0.0,001
2025-11-20,81270,2025-11-19,"{'Restricted': '0', 'DailyPublication': '0', 'Monitoring': '0', 'RestrictedByJSF': '0', 'PrecautionByJSF': '1', 'UnclearOrSecOnAlert': '0'}",172800.0,-6000.0,0.8112,60400.0,-2200.0,0.2835,286.1,0.0,0.0,172800.0,-6000.0,43100.0,-1000.0,17300.0,-1200.0,001
