Date,Sector33Code,SellingExcludingShortSellingTurnoverValue,ShortSellingWithRestrictionsTurnoverValue,ShortSellingWithoutRestrictionsTurnoverValue
2025-11-18,3050,77428103300.0,42379333000.0,8563383050.0
2025-11-18,3100,10939212300.0,5892025040.0,1062733820.0
2025-11-18,3150,3653972100.0,2121283180.0,506789370.0
2025-11-18,3200,148579505210.0,91715468970.0,16863349870.0
2025-11-18,3250,109183157500.0,49315864000.0,16193652100.0
2025-11-18,3300,10521202200.0,7385291020.0,1167571040.0
2025-11-18,3350,14833215300.0,11160075550.0,2157870050.0
2025-11-18,3400,34742728030.0,32586481870.0,4931262040.0
2025-11-18,3450,17393568810.0,12462072410.0,1783977070.0
2025-11-18,3500,331177961850.0,217863970300.0,81202360050.0
2025-11-18,3550,19394977750.0,13932430600.0,2541950150.0
2025-11-18,3600,331062830270.0,219178814590.0,68818906810.0
2025-11-18,3650,975804482250.0,433904204330.0,253697557020.0
2025-11-18,3700,134812702700.0,92937301840.0,22087275710.0
2025-11-18,3750,57813362000.0,26649460100.0,6415380900.0
2025-11-18,3800,57868562280.0,40352135660.0,9061876950.0
2025-11-18,4050,75119510290.0,35728423270.0,11296098170.0
2025-11-18,5050,46081517500.0,37358267200.0,5551503800.0
2025-11-18,5100,21527279400.0,17643647350.0,2210014850.0
2025-11-18,5150,7780458250.0,5258950050.0,976485650.0
2025-11-18,5200,3477837700.0,1650215150.0,324766750.0
2025-11-18,5250,362993804513.0,246093094557.0,85402419900.0
2025-11-18,6050,197076166600.0,101672722150.0,36747231900.0
2025-11-18,6100,177266552590.0,90954616280.0,29865528140.0
2025-11-18,7050,201169086740.0,134374601560.0,23675277480.0
2025-11-18,7100,31423961600.0,23213572000.0,3314650150.0
2025-11-18,7150,70442852690.0,38599180090.0,8956257820.0
2025-11-18,7200,25032527520.0,14816714470.0,2978179810.0
2025-11-18,8050,55916712650.0,31632719350.0,5657827440.0
2025-11-18,9050,118029761310.0,69109664270.0,13834864040.0
2025-11-18,9999,284104836068.0,150259375028.0,82453043178.0
2025-11-17,0050,2548743700.0,1394346150.0,145469550.0
2025-11-17,1050,16026884900.0,5119259000.0,593593300.0
2025-11-17,2050,102128901250.0,43073616650.0,7891505750.0
2025-11-17,3050,78436367000.0,51760713350.0,4626977200.0
2025-11-17,3100,12938549950.0,7058781650.0,527106600.0
2025-11-17,3150,3809678130.0,2437832000.0,194614550.0
2025-11-17,3200,135699403050.0,82117233120.0,8496257560.0
2025-11-17,3250,103196355400.0,48804941500.0,8787952150.0
2025-11-17,3300,10317882100.0,7187700800.0,854325300.0
2025-11-17,3350,16210786250.0,12576817100.0,1071970450.0
2025-11-17,3400,32202197350.0,20883823100.0,3346544550.0
2025-11-17,3450,14841543250.0,9271039660.0,674987110.0
2025-11-17,3500,284623666850.0,138844775450.0,50317702750.0
2025-11-17,3550,25985212800.0,12639505450.0,1892336250.0
2025-11-17,3600,375706662060.0,181758056140.0,48746272870.0
2025-11-17,3650,983349538560.0,371685601300.0,198666475780.0
2025-11-17,3700,132539464040.0,86859759190.0,12157067890.0
2025-11-17,3750,54255098000.0,28553940550.0,3436769750.0
2025-11-17,3800,59037627620.0,37320589170.0,4363593080.0
2025-11-17,4050,56237883500.0,29640471870.0,7796983400.0
2025-11-17,5050,39790523800.0,41462434050.0,2865308400.0
2025-11-17,5100,12719987650.0,14090478150.0,1104156200.0
2025-11-17,5150,9984920200.0,9496916150.0,652167300.0
2025-11-17,5200,3371650750.0,1802094550.0,186005600.0
2025-11-17,5250,390883768605.0,191798576210.0,59822941080.0
2025-11-17,6050,179414714000.0,104051530800.0,21458267400.0
2025-11-17,6100,252444365900.0,154453261030.0,21075850150.0
2025-11-17,7050,256398740360.0,131134346150.0,14211281440.0
2025-11-17,7100,32127384500.0,23728602400.0,1754308050.0
2025-11-17,7150,73995976820.0,41891491110.0,3438947350.0
2025-11-17,7200,28717786080.0,16316611220.0,1291525490.0
2025-11-17,8050,51919577550.0,36189611710.0,3790182890.0
2025-11-17,9050,140714933670.0,96076887180.0,9104808850.0
2025-11-17,9999,184226890705.0,89763238394.0,39898268675.0
2025-11-14,0050,1845138700.0,1762261050.0,247005700.0
2025-11-14,1050,22185071900.0,7814978800.0,1644554700.0
2025-11-14,2050,119298268050.0,62126478000.0,13191105300.0
2025-11-14,3050,92676451600.0,50356863800.0,11618794300.0
2025-11-14,3100,19446748680.0,11807679540.0,2426247920.0
2025-11-14,3150,4262954230.0,1860752480.0,546943590.0
2025-11-14,3200,148877142120.0,85414348840.0,18051813040.0
2025-11-14,3250,133537217500.0,51608061600.0,18798994700.0
2025-11-14,3300,13626433600.0,8562891200.0,1295611700.0
2025-11-14,3350,29118450600.0,19488858200.0,4903819400.0
2025-11-14,3400,38965828750.0,25202035800.0,4312803700.0
2025-11-14,3450,20762468390.0,11349655680.0,1351754120.0
2025-11-14,3500,359429092200.0,242958199000.0,70100480100.0
2025-11-14,3550,30654283350.0,15356233400.0,2168798450.0
2025-11-14,3600,422174808950.0,243922797670.0,65538447640.0
2025-11-14,3650,774230899610.0,385774277120.0,164166005820.0
2025-11-14,3700,142360266510.0,79416575350.0,21838591580.0
2025-11-14,3750,52299376600.0,34415556300.0,7815539650.0
2025-11-14,3800,71401598520.0,39025178320.0,9842120110.0
2025-11-14,4050,99576545040.0,44853211970.0,11822831610.0
2025-11-14,5050,46158927400.0,40463240400.0,4963016650.0
2025-11-14,5100,18544089500.0,10382194150.0,2171397050.0
2025-11-14,5150,7893129650.0,3037410150.0,912098300.0
2025-11-14,5200,2725493500.0,1896778800.0,239859400.0
2025-11-14,5250,513929549441.0,343384918439.0,131894996620.0
2025-11-14,6050,131798344350.0,81486196250.0,27040780850.0
2025-11-14,6100,168409145500.0,85047144930.0,37579483510.0
2025-11-14,7050,238054667900.0,95241904850.0,18142396260.0
2025-11-14,7100,31493311850.0,16069944300.0,2991431800.0
2025-11-14,7150,66946105460.0,35291901180.0,6361846930.0
2025-11-14,7200,27858799500.0,14662048940.0,2874745420.0
2025-11-14,8050,59883225790.0,34555951670.0,6490569720.0
2025-11-14,9050,148136748760.0,77473562900.0,16572445430.0
2025-11-14,9999,235580940404.0,109889931739.0,48668809208.0
2025-11-13,0050,2094139200.0,1398366650.0,82905050.0
2025-11-13,1050,10642717050.0,8052474100.0,505476650.0
2025-11-13,2050,134536442850.0,56391428550.0,13998050600.0
2025-11-13,3050,83881651250.0,53061428800.0,4255088700.0
2025-11-13,3100,10301934540.0,3660079660.0,494830180.0
2025-11-13,3150,3270462640.0,1789260670.0,115301720.0
2025-11-13,3200,127949492050.0,81208012310.0,6107175110.0
2025-11-13,3250,108196591100.0,43524300450.0,7343636550.0
2025-11-13,3300,11659387850.0,8717564320.0,1501661590.0
2025-11-13,3350,29168352550.0,20142473300.0,1435693500.0
2025-11-13,3400,33948585000.0,27469414450.0,4550012650.0
2025-11-13,3450,15831843050.0,11672628680.0,1246296420.0
2025-11-13,3500,469642019300.0,214348698850.0,89431615600.0
2025-11-13,3550,21374222350.0,8124496550.0,1295989350.0
2025-11-13,3600,385954318990.0,216886082260.0,56303849400.0
2025-11-13,3650,864465212380.0,399335557910.0,143455409220.0
2025-11-13,3700,144361246070.0,85210880790.0,10809055870.0
2025-11-13,3750,57642269350.0,33156233400.0,2213592950.0
2025-11-13,3800,88238534530.0,39644971370.0,5188699780.0
2025-11-13,4050,112568333790.0,35121300730.0,11642142740.0
2025-11-13,5050,41423153750.0,37284092800.0,2160279950.0
2025-11-13,5100,15380411350.0,15357563150.0,923188200.0
2025-11-13,5150,9767049200.0,3404585450.0,378116300.0
2025-11-13,5200,1936228050.0,1101826450.0,130088650.0
2025-11-13,5250,432675822263.0,198079333566.0,64801489380.0
2025-11-13,6050,153196568100.0,94253510400.0,13520572950.0
2025-11-13,6100,130217131050.0,74724337810.0,14676580200.0
2025-11-13,7050,231494194330.0,92025009430.0,10953300190.0
2025-11-13,7100,43698039750.0,16888091800.0,2207830050.0
2025-11-13,7150,50522614670.0,28064786790.0,2254610550.0
2025-11-13,7200,31211707490.0,19735348120.0,1863826260.0
2025-11-13,8050,59170605850.0,32141262090.0,3589223030.0
2025-11-13,9050,126702314520.0,59492616390.0,6384953300.0
2025-11-13,9999,183779806710.0,78825660128.0,19980194100.0
2025-11-12,0050,2807040100.0,1896920750.0,162241200.0
2025-11-12,1050,13944564700.0,5942367950.0,942701450.0
2025-11-12,2050,120155617950.0,57449299650.0,8886760650.0
