top_n,month,n,days,pf,win_rate,total,avg,max_dd,max_loss,p05,cvar5,tuw_days
1,2022-09,20,20,0.895146230049111,40.0,-4340.145444192953,-217.00727220964762,-18160.062065291335,-16720.198467982846,-6990.602226045205,-16720.198467982846,15
1,2022-10,20,20,1.405779047983731,55.00000000000001,21967.329650801876,1098.3664825400938,-29322.290966701425,-27877.672464584335,-19389.06377955106,-27877.672464584335,8
1,2022-11,20,20,0.8681486089706506,45.0,-6538.2026875676165,-326.9101343783808,-44879.44903072621,-13417.32161036498,-10653.307841736569,-13417.32161036498,28
1,2022-12,22,22,2.623680781461367,68.18181818181817,16044.270122362012,729.2850055619097,-7993.409489013673,-5496.214051047491,-2595.376890444414,-4088.671861875798,15
1,2023-01,19,19,2.739931383284994,47.368421052631575,17161.168441301754,903.2193916474607,-3305.378989620226,-2365.627712604328,-1676.5627712604328,-2365.627712604328,12
1,2023-02,19,19,0.7386947907718335,36.84210526315789,-4908.636866906529,-258.3493087845541,-12905.33643673166,-8717.260222739333,-2950.2692276882135,-8717.260222739333,18
1,2023-03,21,21,2.0993826122338883,52.38095238095239,20373.98145968291,970.1895933182337,-14314.263327773278,-13739.255536937639,-2671.169737309367,-8205.212637123503,18
1,2023-04,18,18,1.7692128510893645,61.111111111111114,7554.88231842031,419.7156843566839,-5586.942792715536,-3530.4154581083594,-2088.687841488114,-3530.4154581083594,23
1,2023-05,19,19,1.4949005975202414,57.89473684210527,8250.382199320387,434.2306420694941,-7805.0121617843615,-6940.701618683647,-4519.796949728963,-6940.701618683647,21
1,2023-06,22,22,2.429620987194885,54.54545454545454,26524.198035835958,1205.6453652652708,-11591.953229909603,-6353.209517261803,-2782.618910130807,-4570.153573216044,21
1,2023-07,20,20,1.1283941600185736,55.00000000000001,1498.3658826579808,74.91829413289904,-5782.819967364912,-1833.588164009916,-1686.5209353230125,-1833.588164009916,12
1,2023-08,21,21,1.9884673473299195,47.61904761904761,16941.486987476626,806.737475594125,-8721.036106581085,-7355.316792802864,-3020.282706342664,-5187.799749572764,13
1,2023-09,20,20,1.3157205384799209,45.0,8395.94735978305,419.79736798915246,-19958.53226721112,-10037.699061767626,-2809.147757073226,-10037.699061767626,24
1,2023-10,20,20,0.9854548969404555,40.0,-552.5055268907336,-27.62527634453668,-12470.78264228794,-12470.78264228794,-8901.539054644407,-12470.78264228794,16
1,2023-11,20,20,1.8458942424987947,75.0,12457.423721619434,622.8711860809717,-7243.721924157744,-5151.3744132601005,-4901.621071882022,-5151.3744132601005,10
1,2023-12,21,21,0.6398883721965297,52.38095238095239,-14396.583645792922,-685.5516021806153,-28687.328561605354,-11271.431265159617,-9356.339122839701,-10313.88519399966,24
1,2024-01,16,16,1.7696777019821432,50.0,18884.909626196568,1180.3068516372855,-13741.377960732598,-10221.859190408213,-7726.179237891438,-10221.859190408213,12
1,2024-02,19,19,1.2966943537885363,52.63157894736842,8485.323798558487,446.5959893978151,-20662.03790618347,-5173.872156352081,-4806.013868487809,-5173.872156352081,20
1,2024-03,20,20,1.9974881459569487,65.0,36596.41026613665,1829.8205133068325,-34418.25188675489,-19231.793715217966,-12703.275635597312,-19231.793715217966,7
1,2024-04,21,21,3.001458001837156,57.14285714285714,39257.22686892214,1869.391755662959,-6404.226145802202,-3967.417285768647,-2647.5546306413207,-3307.485958204984,14
1,2024-05,21,21,1.8345681501513345,61.904761904761905,47236.29065885799,2249.347174231333,-36828.99821294994,-30579.368960181593,-14637.192332442148,-22608.28064631187,14
1,2024-06,20,20,4.654619404503851,65.0,43713.37437740206,2185.668718870103,-2933.304709438516,-2933.3047094385165,-2678.9659613718945,-2933.3047094385165,2
1,2024-07,21,21,4.758107767034544,76.19047619047619,57046.11725923946,2716.481774249498,-7022.081486638577,-7022.081486638581,-4860.199978939545,-5941.140732789063,7
1,2024-08,13,13,4.281507876527518,61.53846153846154,86619.02298619534,6663.001768168872,-12320.278267416052,-12320.278267416052,-8464.411251260526,-12320.278267416052,12
1,2024-09,18,18,1.5111999404936298,55.55555555555556,15434.011344132934,857.4450746740519,-20240.57117553068,-10545.718193560242,-6194.324081510531,-10545.718193560242,22
1,2024-10,19,19,3.030560863266535,68.42105263157895,53454.26032833464,2813.3821225439283,-17860.074740698827,-15997.869580214638,-7201.441918277553,-15997.869580214638,15
1,2024-11,19,19,1.5589121943701796,57.89473684210527,12840.810592874039,675.8321364670546,-12040.69292045806,-9403.117904745523,-6868.612091029045,-9403.117904745523,11
1,2024-12,21,21,0.9943383811710117,61.904761904761905,-136.79452594068334,-6.514025044794445,-11659.215630226981,-9166.404380934455,-5928.10522649936,-7547.254803716907,6
1,2025-01,19,19,2.6954293274422154,63.1578947368421,24926.935803960714,1311.943989682143,-3830.3213668784338,-3830.3213668784338,-2747.3632041464225,-3830.3213668784338,9
1,2025-02,17,17,3.5173072413579414,58.82352941176471,28774.97000823557,1692.6452946020925,-5860.783132116171,-5860.783132116171,-2817.603615171479,-5860.783132116171,9
1,2025-03,19,19,2.3021966466085537,57.89473684210527,19624.049379588476,1032.8447041888671,-5105.391510150321,-3626.137304321537,-2700.465922626513,-3626.137304321537,7
1,2025-04,19,19,1.482191246093112,47.368421052631575,10674.663231850218,561.8243806236957,-18564.916469324908,-4529.3851847795395,-3959.0811789482677,-4529.3851847795395,16
1,2025-05,18,18,0.5880351415574606,50.0,-34027.44467847844,-1890.413593248802,-52913.36866073447,-21557.270118899076,-17768.75712897895,-21557.270118899076,28
1,2025-06,21,21,1.3466630703542264,52.38095238095239,6843.711181609558,325.89100864807415,-13505.408314339309,-3772.5048671045897,-3144.872656397524,-3458.688761751057,11
1,2025-07,22,22,3.1172992020568895,63.63636363636363,35334.79005996788,1606.126820907631,-4839.640390214758,-3433.9642622462634,-3249.0657221863307,-3354.7862155370467,12
1,2025-08,18,18,2.7145852140196958,61.111111111111114,16936.65231556927,940.9251286427373,-4136.1410763398,-2859.3619494885843,-2461.7678640026566,-2859.3619494885843,10
1,2025-09,20,20,0.8865986427128715,35.0,-3040.908660098298,-152.04543300491488,-9302.25382382404,-5300.0,-4963.23484004708,-5300.0,22
1,2025-10,22,22,1.5402129703411915,45.45454545454545,18668.80116751104,848.5818712505018,-21318.22583297053,-16318.22583297053,-4905.0,-10659.112916485265,7
1,2025-11,18,18,1.927076732240104,55.55555555555556,33365.67702669054,1853.6487237050299,-18300.0,-13500.0,-7804.999999999999,-13500.0,7
1,2025-12,22,22,1.4214951979574943,54.54545454545454,18550.00366210934,843.1819846413335,-21200.0,-15100.0,-7820.0,-11550.0,13
1,2026-01,19,19,0.9321533923303835,47.368421052631575,-3450.0,-181.57894736842104,-27600.0,-11900.0,-9425.0,-11900.0,16
1,2026-02,18,18,2.4299999999999975,55.55555555555556,31459.999999999945,1747.7777777777746,-5900.0,-6000.0,-5405.0,-6000.0,11
1,2026-03,21,21,1.4622005988023947,47.61904761904761,24700.0,1176.1904761904761,-20850.0,-10500.0,-8700.0,-9600.0,19
1,2026-04,20,20,2.710099538016007,55.00000000000001,70610.00366210938,3530.5001831054688,-12039.996337890625,-12039.996337890625,-8201.999816894531,-12039.996337890625,4
1,2026-05,15,15,0.9052523171987642,60.0,-4600.0,-306.6666666666667,-33200.0,-33200.0,-17450.0,-33200.0,20
3,2020-01,50,18,0.6929364861787846,34.0,-15970.33713349267,-319.40674266985343,-26536.4597132017,-6374.946789230762,-4757.59861248854,-5373.561623879967,15
3,2020-02,41,17,4.125876142227145,68.29268292682927,58627.43478096278,1429.937433682019,-7272.582193670394,-5948.442600117221,-2242.3846461437506,-3776.6185780883657,7
3,2020-03,21,12,0.47538598078802535,42.857142857142854,-15267.98238434359,-727.0467802068376,-20883.194621206523,-9072.312542171243,-5638.391096051862,-7355.351819111553,21
3,2020-04,40,18,1.244230052907531,57.49999999999999,9372.264746364135,234.30661865910338,-11477.236315261478,-6534.9819132110615,-4611.843593538047,-5671.619056129993,14
3,2020-05,46,18,2.759735020485286,65.21739130434783,56118.62662119813,1219.9701439390897,-7862.081097771999,-7862.081097771999,-3416.4141135844475,-5292.4340379792775,5
3,2020-06,46,22,2.391609975043223,63.04347826086957,48586.00242956816,1056.2174441210468,-19081.94818309635,-9695.962309889183,-2909.708618648443,-5319.166740045136,7
3,2020-07,57,21,0.574716669389996,43.859649122807014,-77059.80444385047,-1351.9263937517626,-105122.69552659402,-29835.049812517354,-17301.18165050404,-23102.269487130132,30
3,2020-08,46,18,0.49495566142161496,52.17391304347826,-32492.92188031647,-706.3678669634015,-42198.37222572097,-30136.515563127068,-3901.5289644883183,-13376.828234686036,26
3,2020-09,51,20,1.2569122760456735,50.98039215686274,12486.515013525455,244.8336277161854,-18066.080638347725,-9059.352607484107,-3808.15302898539,-5707.0017244882065,23
3,2020-10,46,21,1.5734454852999857,54.347826086956516,24193.183079744907,525.9387626031502,-15168.688313405059,-8783.48833078012,-6205.70706261741,-7414.9249367524435,13
3,2020-11,49,19,0.8561267029868542,46.93877551020408,-8523.914450845223,-173.95743777235148,-19840.248008134018,-8309.936085129062,-6291.096647615244,-7818.643279506054,18
3,2020-12,61,22,0.8546676350211124,50.81967213114754,-21641.81424162518,-354.7838400266423,-103378.81146764211,-31764.71570556878,-13737.160992336794,-21779.186858990353,16
3,2021-01,56,19,1.021427388692536,53.57142857142857,1387.3461534336311,24.774038454171983,-32531.255358205108,-7676.211671954252,-4460.51667951042,-6570.17493039892,24
3,2021-02,52,18,4.408720146025566,67.3076923076923,75358.34949150462,1449.199028682781,-6109.35390214264,-5029.807113928268,-2708.320868917017,-4005.1487420623966,8
3,2021-03,55,23,1.1644452333667838,47.27272727272727,9911.349001968261,180.206345490332,-30104.70303436913,-8694.384541690897,-5818.44889472987,-7648.720415668579,26
3,2021-04,46,19,3.5138501760403407,69.56521739130434,62909.42247506377,1367.596140762256,-4891.946390340079,-9447.787187215545,-2713.6988541397727,-5247.663513032384,4
3,2021-05,43,18,1.8813334332144576,69.76744186046511,29508.035157510396,686.2333757560557,-21863.574197669117,-17062.735740343214,-2927.4153624715505,-7720.705510238581,13
3,2021-06,59,22,1.7349945040723436,47.45762711864407,32340.535927292985,548.1446767337794,-11676.899818004837,-4034.5255746503426,-2702.339415519179,-3891.0616785332654,7
3,2021-07,50,20,0.7213365500314658,48.0,-12332.333598396006,-246.64667196792013,-24859.1525343635,-5057.6667884962035,-4119.325241567152,-4578.691654001818,25
3,2021-08,54,21,1.0904482833390605,70.37037037037037,5434.478421569249,100.63848928831942,-24467.095624923248,-24380.526239151914,-3559.596982325999,-15182.822639883641,13
